uuid	odkid	fmid	psu	hhid	age	name	edu1	edu2	edu3	edu4	edu5	edu6	edu7	edu8	edu9	edu10	pid	region	urban	icode	begin_time	dur_edu	corrected_dur_edu	year	month	day	date	start_date	end_date	time	start_time	end_time
20240919	uuid:00002fb2-47be-414f-ac93-64c80fde5236	1	38340256	16	63		Yes	Completed higher education (BA, MA, or Specialist degree)	Engineering, manufacturing and construction	1/1/1991					No		uuid:00002fb2-47be-414f-ac93-64c80fde5236/m03_/ed_[1]	Samegrelo-Zemo Svaneti	Rural	1513	2024-09-19T17:57:00.000+04:00	1	1	2024	9	19	2024/09/19	2024/09/19	2024/09/19	2024/09/19 21:28:17	2024/09/19 17:54:04	2024/09/19 19:10:24
20240919	uuid:00002fb2-47be-414f-ac93-64c80fde5236	3	38340256	16	24		Yes	Completed secondary education			No				No		uuid:00002fb2-47be-414f-ac93-64c80fde5236/m03_/ed_[3]	Samegrelo-Zemo Svaneti	Rural	1513	2024-09-19T17:57:00.000+04:00	1	1	2024	9	19	2024/09/19	2024/09/19	2024/09/19	2024/09/19 21:28:17	2024/09/19 17:54:04	2024/09/19 19:10:24
20240919	uuid:00002fb2-47be-414f-ac93-64c80fde5236	2	38340256	16	49		Yes	Completed secondary education							No		uuid:00002fb2-47be-414f-ac93-64c80fde5236/m03_/ed_[2]	Samegrelo-Zemo Svaneti	Rural	1513	2024-09-19T17:57:00.000+04:00	1	1	2024	9	19	2024/09/19	2024/09/19	2024/09/19	2024/09/19 21:28:17	2024/09/19 17:54:04	2024/09/19 19:10:24
20241021	uuid:00159e9b-c0b9-4b0a-9634-4885c3459504	4	11250573	12	0												uuid:00159e9b-c0b9-4b0a-9634-4885c3459504/m03_/ed_[4]	Tbilisi	Urban	1832	2024-10-21T13:02:00.000+04:00	1	1	2024	10	21	2024/10/21	2024/10/21	2024/10/21	2024/10/21 18:06:04	2024/10/21 12:58:34	2024/10/21 14:18:54
20241021	uuid:00159e9b-c0b9-4b0a-9634-4885c3459504	1	11250573	12	30		Yes	Completed secondary education							Yes	3	uuid:00159e9b-c0b9-4b0a-9634-4885c3459504/m03_/ed_[1]	Tbilisi	Urban	1832	2024-10-21T13:02:00.000+04:00	1	1	2024	10	21	2024/10/21	2024/10/21	2024/10/21	2024/10/21 18:06:04	2024/10/21 12:58:34	2024/10/21 14:18:54
20241021	uuid:00159e9b-c0b9-4b0a-9634-4885c3459504	3	11250573	12	4		No										uuid:00159e9b-c0b9-4b0a-9634-4885c3459504/m03_/ed_[3]	Tbilisi	Urban	1832	2024-10-21T13:02:00.000+04:00	1	1	2024	10	21	2024/10/21	2024/10/21	2024/10/21	2024/10/21 18:06:04	2024/10/21 12:58:34	2024/10/21 14:18:54
20241021	uuid:00159e9b-c0b9-4b0a-9634-4885c3459504	2	11250573	12	24		Yes	Completed secondary education			No				Yes	2	uuid:00159e9b-c0b9-4b0a-9634-4885c3459504/m03_/ed_[2]	Tbilisi	Urban	1832	2024-10-21T13:02:00.000+04:00	1	1	2024	10	21	2024/10/21	2024/10/21	2024/10/21	2024/10/21 18:06:04	2024/10/21 12:58:34	2024/10/21 14:18:54
20240912	uuid:002e7b3f-b8ae-4c78-8d71-32671c020627	1	26400342	4	74		Yes	Completed secondary education							No		uuid:002e7b3f-b8ae-4c78-8d71-32671c020627/m03_/ed_[1]	Imereti	Rural	1316	2024-09-12T15:39:00.000+04:00	0	0	2024	9	12	2024/09/12	2024/09/12	2024/09/12	2024/09/12 16:08:57	2024/09/12 15:36:39	2024/09/12 16:07:54
20241007	uuid:005ff1d5-d687-40ce-95a3-e3599415bcac	2	38250473	4	76		Yes	Secondary technical education							No		uuid:005ff1d5-d687-40ce-95a3-e3599415bcac/m03_/ed_[2]	Samegrelo-Zemo Svaneti	Rural	1522	2024-10-07T13:09:00.000+04:00	1	1	2024	10	7	2024/10/07	2024/10/07	2024/10/07	2024/10/07 19:52:58	2024/10/07 13:02:18	2024/10/07 13:41:53
20241007	uuid:005ff1d5-d687-40ce-95a3-e3599415bcac	1	38250473	4	53		Yes	Completed higher education (BA, MA, or Specialist degree)	Social sciences, journalism and information	1/1/1997					Yes	2	uuid:005ff1d5-d687-40ce-95a3-e3599415bcac/m03_/ed_[1]	Samegrelo-Zemo Svaneti	Rural	1522	2024-10-07T13:09:00.000+04:00	1	1	2024	10	7	2024/10/07	2024/10/07	2024/10/07	2024/10/07 19:52:58	2024/10/07 13:02:18	2024/10/07 13:41:53
20241007	uuid:005ff1d5-d687-40ce-95a3-e3599415bcac	3	38250473	4	51		Yes	Completed higher education (BA, MA, or Specialist degree)	Information and Communication Technologies	1/1/1999					No		uuid:005ff1d5-d687-40ce-95a3-e3599415bcac/m03_/ed_[3]	Samegrelo-Zemo Svaneti	Rural	1522	2024-10-07T13:09:00.000+04:00	1	1	2024	10	7	2024/10/07	2024/10/07	2024/10/07	2024/10/07 19:52:58	2024/10/07 13:02:18	2024/10/07 13:41:53
20241007	uuid:005ff1d5-d687-40ce-95a3-e3599415bcac	4	38250473	4	30		Yes	Completed higher education (BA, MA, or Specialist degree)	Education	1/1/2018					Yes	3	uuid:005ff1d5-d687-40ce-95a3-e3599415bcac/m03_/ed_[4]	Samegrelo-Zemo Svaneti	Rural	1522	2024-10-07T13:09:00.000+04:00	1	1	2024	10	7	2024/10/07	2024/10/07	2024/10/07	2024/10/07 19:52:58	2024/10/07 13:02:18	2024/10/07 13:41:53
20240903	uuid:006be37a-6fec-4641-a155-5c4c9d4aed8b	4	44260474	20	34		Yes	Primary education							No		uuid:006be37a-6fec-4641-a155-5c4c9d4aed8b/m03_/ed_[4]	Kvemo Kartli	Rural	1668	2024-09-03T14:29:00.000+04:00	2	2	2024	9	3	2024/09/03	2024/09/03	2024/09/03	2024/09/03 19:17:02	2024/09/03 14:28:54	2024/09/03 15:27:53
20240903	uuid:006be37a-6fec-4641-a155-5c4c9d4aed8b	3	44260474	20	36		Yes	Completed secondary education							No		uuid:006be37a-6fec-4641-a155-5c4c9d4aed8b/m03_/ed_[3]	Kvemo Kartli	Rural	1668	2024-09-03T14:29:00.000+04:00	2	2	2024	9	3	2024/09/03	2024/09/03	2024/09/03	2024/09/03 19:17:02	2024/09/03 14:28:54	2024/09/03 15:27:53
20240903	uuid:006be37a-6fec-4641-a155-5c4c9d4aed8b	2	44260474	20	68		Yes	Completed secondary education							No		uuid:006be37a-6fec-4641-a155-5c4c9d4aed8b/m03_/ed_[2]	Kvemo Kartli	Rural	1668	2024-09-03T14:29:00.000+04:00	2	2	2024	9	3	2024/09/03	2024/09/03	2024/09/03	2024/09/03 19:17:02	2024/09/03 14:28:54	2024/09/03 15:27:53
20240903	uuid:006be37a-6fec-4641-a155-5c4c9d4aed8b	5	44260474	20	9		Yes	Preschool/kindergarten			Yes	Primary education	Public	No	Yes	1	uuid:006be37a-6fec-4641-a155-5c4c9d4aed8b/m03_/ed_[5]	Kvemo Kartli	Rural	1668	2024-09-03T14:29:00.000+04:00	2	2	2024	9	3	2024/09/03	2024/09/03	2024/09/03	2024/09/03 19:17:02	2024/09/03 14:28:54	2024/09/03 15:27:53
20240903	uuid:006be37a-6fec-4641-a155-5c4c9d4aed8b	1	44260474	20	66		Yes	Incomplete secondary education							No		uuid:006be37a-6fec-4641-a155-5c4c9d4aed8b/m03_/ed_[1]	Kvemo Kartli	Rural	1668	2024-09-03T14:29:00.000+04:00	2	2	2024	9	3	2024/09/03	2024/09/03	2024/09/03	2024/09/03 19:17:02	2024/09/03 14:28:54	2024/09/03 15:27:53
20240906	uuid:0093d44c-5893-4a16-92a0-547cb5439feb	3	44260161	6	32		Yes	Secondary technical education							No		uuid:0093d44c-5893-4a16-92a0-547cb5439feb/m03_/ed_[3]	Kvemo Kartli	Rural	1668	2024-09-06T14:25:00.000+04:00	2	2	2024	9	9	2024/09/09	2024/09/06	2024/09/06	2024/09/09 23:17:44	2024/09/06 14:25:29	2024/09/06 15:38:21
20240906	uuid:0093d44c-5893-4a16-92a0-547cb5439feb	2	44260161	6	65		Yes	Completed secondary education							No		uuid:0093d44c-5893-4a16-92a0-547cb5439feb/m03_/ed_[2]	Kvemo Kartli	Rural	1668	2024-09-06T14:25:00.000+04:00	2	2	2024	9	9	2024/09/09	2024/09/06	2024/09/06	2024/09/09 23:17:44	2024/09/06 14:25:29	2024/09/06 15:38:21
20240906	uuid:0093d44c-5893-4a16-92a0-547cb5439feb	1	44260161	6	57		Yes	Completed secondary education							Yes	1	uuid:0093d44c-5893-4a16-92a0-547cb5439feb/m03_/ed_[1]	Kvemo Kartli	Rural	1668	2024-09-06T14:25:00.000+04:00	2	2	2024	9	9	2024/09/09	2024/09/06	2024/09/06	2024/09/09 23:17:44	2024/09/06 14:25:29	2024/09/06 15:38:21
20240911	uuid:009a9eb1-3c8b-4b9d-af8b-0691da889a9f	1	38280235	12	67		Yes	Completed secondary education							No		uuid:009a9eb1-3c8b-4b9d-af8b-0691da889a9f/m03_/ed_[1]	Samegrelo-Zemo Svaneti	Rural	1523	2024-09-11T15:32:00.000+04:00	1	1	2024	9	12	2024/09/12	2024/09/11	2024/09/11	2024/09/12 11:34:44	2024/09/11 15:30:24	2024/09/11 16:29:05
20240911	uuid:009a9eb1-3c8b-4b9d-af8b-0691da889a9f	2	38280235	12	62		Yes	Completed secondary education							No		uuid:009a9eb1-3c8b-4b9d-af8b-0691da889a9f/m03_/ed_[2]	Samegrelo-Zemo Svaneti	Rural	1523	2024-09-11T15:32:00.000+04:00	1	1	2024	9	12	2024/09/12	2024/09/11	2024/09/11	2024/09/12 11:34:44	2024/09/11 15:30:24	2024/09/11 16:29:05
20241007	uuid:00a11c96-2908-4895-9cb0-d743ce023294	4	38360272	8	16		Yes	Incomplete secondary education			Yes	Secondary education	Public	No	Yes	3	uuid:00a11c96-2908-4895-9cb0-d743ce023294/m03_/ed_[4]	Samegrelo-Zemo Svaneti	Urban	1501	2024-10-07T11:36:00.000+04:00	2	2	2024	10	10	2024/10/10	2024/10/07	2024/10/07	2024/10/10 11:11:47	2024/10/07 11:30:04	2024/10/07 12:54:48
20241007	uuid:00a11c96-2908-4895-9cb0-d743ce023294	3	38360272	8	19		Yes	Completed secondary education			No				Yes	3	uuid:00a11c96-2908-4895-9cb0-d743ce023294/m03_/ed_[3]	Samegrelo-Zemo Svaneti	Urban	1501	2024-10-07T11:36:00.000+04:00	2	2	2024	10	10	2024/10/10	2024/10/07	2024/10/07	2024/10/10 11:11:47	2024/10/07 11:30:04	2024/10/07 12:54:48
20241007	uuid:00a11c96-2908-4895-9cb0-d743ce023294	1	38360272	8	42		Yes	Completed secondary education							Yes	3	uuid:00a11c96-2908-4895-9cb0-d743ce023294/m03_/ed_[1]	Samegrelo-Zemo Svaneti	Urban	1501	2024-10-07T11:36:00.000+04:00	2	2	2024	10	10	2024/10/10	2024/10/07	2024/10/07	2024/10/10 11:11:47	2024/10/07 11:30:04	2024/10/07 12:54:48
20241007	uuid:00a11c96-2908-4895-9cb0-d743ce023294	2	38360272	8	79		Yes	Completed secondary education							No		uuid:00a11c96-2908-4895-9cb0-d743ce023294/m03_/ed_[2]	Samegrelo-Zemo Svaneti	Urban	1501	2024-10-07T11:36:00.000+04:00	2	2	2024	10	10	2024/10/10	2024/10/07	2024/10/07	2024/10/10 11:11:47	2024/10/07 11:30:04	2024/10/07 12:54:48
20241019	uuid:00dc386c-d53a-4c09-928b-cc3733b2063a	1	11250572	28	28		Yes	Secondary technical education							Yes	3	uuid:00dc386c-d53a-4c09-928b-cc3733b2063a/m03_/ed_[1]	Tbilisi	Urban	1832	2024-10-19T16:52:00.000+04:00	1	1	2024	10	19	2024/10/19	2024/10/19	2024/10/19	2024/10/19 18:14:40	2024/10/19 16:48:44	2024/10/19 18:14:29
20241019	uuid:00dc386c-d53a-4c09-928b-cc3733b2063a	2	11250572	28	55		Yes	Secondary technical education							No		uuid:00dc386c-d53a-4c09-928b-cc3733b2063a/m03_/ed_[2]	Tbilisi	Urban	1832	2024-10-19T16:52:00.000+04:00	1	1	2024	10	19	2024/10/19	2024/10/19	2024/10/19	2024/10/19 18:14:40	2024/10/19 16:48:44	2024/10/19 18:14:29
20241014	uuid:012b1986-e139-4e6d-8a64-efc4dd7a2137	3	38140153	10	34		Yes	Completed higher education (BA, MA, or Specialist degree)	Business, administration and law	1/1/2012					Yes	4	uuid:012b1986-e139-4e6d-8a64-efc4dd7a2137/m03_/ed_[3]	Samegrelo-Zemo Svaneti	Urban	1519	2024-10-14T15:23:00.000+04:00	4	4	2024	10	14	2024/10/14	2024/10/14	2024/10/14	2024/10/14 17:37:14	2024/10/14 15:13:33	2024/10/14 17:25:45
20241014	uuid:012b1986-e139-4e6d-8a64-efc4dd7a2137	1	38140153	10	59		Yes	Secondary technical education							Yes	4	uuid:012b1986-e139-4e6d-8a64-efc4dd7a2137/m03_/ed_[1]	Samegrelo-Zemo Svaneti	Urban	1519	2024-10-14T15:23:00.000+04:00	4	4	2024	10	14	2024/10/14	2024/10/14	2024/10/14	2024/10/14 17:37:14	2024/10/14 15:13:33	2024/10/14 17:25:45
20241014	uuid:012b1986-e139-4e6d-8a64-efc4dd7a2137	2	38140153	10	62		Yes	Secondary technical education							Don't know		uuid:012b1986-e139-4e6d-8a64-efc4dd7a2137/m03_/ed_[2]	Samegrelo-Zemo Svaneti	Urban	1519	2024-10-14T15:23:00.000+04:00	4	4	2024	10	14	2024/10/14	2024/10/14	2024/10/14	2024/10/14 17:37:14	2024/10/14 15:13:33	2024/10/14 17:25:45
20241014	uuid:012b1986-e139-4e6d-8a64-efc4dd7a2137	4	38140153	10	33		Yes	Completed higher education (BA, MA, or Specialist degree)	Business, administration and law	1/1/2013					Yes	4	uuid:012b1986-e139-4e6d-8a64-efc4dd7a2137/m03_/ed_[4]	Samegrelo-Zemo Svaneti	Urban	1519	2024-10-14T15:23:00.000+04:00	4	4	2024	10	14	2024/10/14	2024/10/14	2024/10/14	2024/10/14 17:37:14	2024/10/14 15:13:33	2024/10/14 17:25:45
20241022	uuid:01dc6570-232a-4f0f-8bc9-1f40e6b90901	4	29260315	4	64		Yes	Completed secondary education							No		uuid:01dc6570-232a-4f0f-8bc9-1f40e6b90901/m03_/ed_[4]	Kakheti	Rural	1715	2024-10-22T12:40:00.000+04:00	4	4	2024	10	22	2024/10/22	2024/10/22	2024/10/22	2024/10/22 19:38:35	2024/10/22 12:36:48	2024/10/22 13:45:23
20241022	uuid:01dc6570-232a-4f0f-8bc9-1f40e6b90901	5	29260315	4	11		Yes	Primary education			Yes	Secondary education	Public	No	Yes	3	uuid:01dc6570-232a-4f0f-8bc9-1f40e6b90901/m03_/ed_[5]	Kakheti	Rural	1715	2024-10-22T12:40:00.000+04:00	4	4	2024	10	22	2024/10/22	2024/10/22	2024/10/22	2024/10/22 19:38:35	2024/10/22 12:36:48	2024/10/22 13:45:23
20241022	uuid:01dc6570-232a-4f0f-8bc9-1f40e6b90901	6	29260315	4	16		Yes	Incomplete secondary education			Yes	Secondary education	Public	Yes	Yes	3	uuid:01dc6570-232a-4f0f-8bc9-1f40e6b90901/m03_/ed_[6]	Kakheti	Rural	1715	2024-10-22T12:40:00.000+04:00	4	4	2024	10	22	2024/10/22	2024/10/22	2024/10/22	2024/10/22 19:38:35	2024/10/22 12:36:48	2024/10/22 13:45:23
20241022	uuid:01dc6570-232a-4f0f-8bc9-1f40e6b90901	1	29260315	4	37		Yes	Secondary technical education							Yes	3	uuid:01dc6570-232a-4f0f-8bc9-1f40e6b90901/m03_/ed_[1]	Kakheti	Rural	1715	2024-10-22T12:40:00.000+04:00	4	4	2024	10	22	2024/10/22	2024/10/22	2024/10/22	2024/10/22 19:38:35	2024/10/22 12:36:48	2024/10/22 13:45:23
20241022	uuid:01dc6570-232a-4f0f-8bc9-1f40e6b90901	2	29260315	4	40		Yes	Completed higher education (BA, MA, or Specialist degree)	Engineering, manufacturing and construction	1/1/2004					Yes	3	uuid:01dc6570-232a-4f0f-8bc9-1f40e6b90901/m03_/ed_[2]	Kakheti	Rural	1715	2024-10-22T12:40:00.000+04:00	4	4	2024	10	22	2024/10/22	2024/10/22	2024/10/22	2024/10/22 19:38:35	2024/10/22 12:36:48	2024/10/22 13:45:23
20241022	uuid:01dc6570-232a-4f0f-8bc9-1f40e6b90901	3	29260315	4	70		Yes	Completed higher education (BA, MA, or Specialist degree)	Don't know	1/1/1977					No		uuid:01dc6570-232a-4f0f-8bc9-1f40e6b90901/m03_/ed_[3]	Kakheti	Rural	1715	2024-10-22T12:40:00.000+04:00	4	4	2024	10	22	2024/10/22	2024/10/22	2024/10/22	2024/10/22 19:38:35	2024/10/22 12:36:48	2024/10/22 13:45:23
20241011	uuid:02117b1d-a688-4a23-a1d5-4f1be4d4d0db	2	38380263	9	28		Yes	Completed higher education (BA, MA, or Specialist degree)	Arts and humanities	1/1/2018					No		uuid:02117b1d-a688-4a23-a1d5-4f1be4d4d0db/m03_/ed_[2]	Samegrelo-Zemo Svaneti	Rural	1513	2024-10-11T15:42:00.000+04:00	1	1	2024	10	12	2024/10/12	2024/10/11	2024/10/11	2024/10/12 10:14:51	2024/10/11 15:39:56	2024/10/11 16:58:23
20241011	uuid:02117b1d-a688-4a23-a1d5-4f1be4d4d0db	1	38380263	9	57		Yes	Secondary technical education							No		uuid:02117b1d-a688-4a23-a1d5-4f1be4d4d0db/m03_/ed_[1]	Samegrelo-Zemo Svaneti	Rural	1513	2024-10-11T15:42:00.000+04:00	1	1	2024	10	12	2024/10/12	2024/10/11	2024/10/11	2024/10/12 10:14:51	2024/10/11 15:39:56	2024/10/11 16:58:23
20240921	uuid:022062e5-24e1-43e2-b409-b2b0703595e5	2	41110275	4	76		Yes	Completed higher education (BA, MA, or Specialist degree)	Engineering, manufacturing and construction	1/1/1980					No		uuid:022062e5-24e1-43e2-b409-b2b0703595e5/m03_/ed_[2]	Samtskhe–Javakheti	Urban	1203	2024-09-21T16:51:00.000+04:00	2	2	2024	9	21	2024/09/21	2024/09/21	2024/09/21	2024/09/21 19:10:21	2024/09/21 16:49:34	2024/09/21 17:37:16
